Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
Chile,CHL,79.349,9.68910599,78.876,9.68593311,79.176,10.06172848,81.167,10.09532642,..,..
China,CHN,78.019,5.59359741,78.117,5.38360548,78.202,5.36948681,77.953,..,..,..
Colombia,COL,74.757,8.71432114,72.698,9.01772404,76.508,7.57361269,77.725,7.69168758,..,..
Comoros,COM,65.756,5.902421,65.201,6.43369246,66.481,8.3803854,66.777,..,..,..
"Congo, Dem. Rep.",COD,60.428,3.97694445,60.044,3.67749357,60.979,3.78614616,61.895,..,..,..
"Congo, Rep.",COG,64.391,4.01775074,64.192,3.49339676,65,2.19224548,65.772,..,..,..
Costa Rica,CRI,79.725,7.82545757,78.05,7.61130476,79.316,7.18368196,80.799,..,..,..
Cote d'Ivoire,CIV,60.14,3.62327886,60.29,3.76207662,61.562,3.6424129,61.944,..,..,..
Croatia,HRV,77.5243902439024,7.64949179,76.4243902439025,8.01351929,77.5756097560976,7.21545315,78.4731707317073,..,..,..
Cuba,CUB,77.407,12.48641968,73.201,13.78727913,77.629,11.78683186,78.085,..,..,..
Curacao,CUW,76.501,..,75.686,..,76.729,..,76.8,..,..,..
Cyprus,CYP,81.23,8.76033878,80.573,9.47552109,80.434,8.87060547,81.648,..,..,..
Czechia,CZE,78.2268292682927,9.15721989,77.2219512195122,9.45247459,78.9292682926829,8.79904652,79.8780487804878,8.53962803,..,..
Denmark,DNK,81.6024390243903,10.71854591,81.4048780487805,10.74728584,81.3048780487805,9.4758625,81.8536585365854,9.41784573,..,..
Djibouti,DJI,64.2,2.32228446,63.83,2.88669515,65.54,2.49675012,65.987,..,..,..
Dominica,DMA,71.269,6.12651205,69.832,6.31661367,71.081,6.31969738,71.132,..,..,..
Dominican Republic,DOM,72.636,4.93967104,71.757,4.91807747,74.211,4.57254791,73.72,..,..,..
Ecuador,ECU,72.004,8.6576252,72.746,8.20646191,76.577,7.53457022,77.392,..,..,..
"Egypt, Arab Rep.",EGY,69.79,4.15384626,68.976,4.60955143,71.01,4.70438385,71.633,..,..,..
El Salvador,SLV,70.244,8.95105076,69.941,10.12668991,71.969,9.84079742,72.099,..,..,..
Equatorial Guinea,GNQ,62.141,3.99582434,62.447,3.39468098,63.355,2.91350007,63.707,..,..,..
Eritrea,ERI,66.98,4.31046677,66.94,4.17839003,67.789,3.87447667,68.624,..,..,..
Estonia,EST,78.5951219512195,7.57906437,76.9439024390244,7.47860336,77.8439024390244,6.98701143,78.490243902439,..,..,..
Eswatini,SWZ,59.862,7.07603502,58.228,7.38329172,63.028,7.2226615,64.123,..,..,..
Ethiopia,ETH,65.969,3.48096275,65.33,3.2075386,66.897,2.85274577,67.315,..,..,..
Faroe Islands,FRO,82.6439024390244,..,82.8439024390244,..,82.9439024390244,..,83.1439024390244,..,..,..
Fiji,FJI,66.924,5.28987408,64.904,7.06084681,67.148,4.00910091,67.316,3.57928777,..,..
Finland,FIN,81.9317073170732,9.63249588,81.8853658536585,9.83458328,81.1878048780488,9.6589222,81.6853658536585,..,..,..
France,FRA,82.1756097560976,12.07226849,82.3243902439024,12.29229355,82.1292682926829,11.8819046,82.9292682926829,..,..,..
French Polynesia,PYF,82.459,..,79.571,..,83.859,..,84.07,..,..,..
Gabon,GAB,67.073,3.41717625,67.072,2.69024062,67.713,2.85591531,68.337,..,..,..
"Gambia, The",GMB,64.418,3.72824264,63.847,3.19251013,64.859,3.41435836,65.86,..,..,..
Georgia,GEO,73.509,8.34160137,71.635,8.3153286,74.141,7.25569582,74.496,..,..,..
